book_id,title,downloads
2701,"Moby Dick; Or, The Whale",0
1342,Pride and Prejudice,0
1727,The OdysseyRendered into English prose for the use of those who cannot read the original,0
2641,A Room with a View,0
1513,Romeo and Juliet,0
67979,The Blue Castle: a novel,0
2554,Crime and Punishment,0
5197,My Life — Volume 1,0
1260,Jane Eyre: An Autobiography,0
100,The Complete Works of William Shakespeare,0
65238,The Secret of Chimneys,0
34413,The Love Letters of Mary Wollstonecraft to Gilbert Imlay,0
11,Alice's Adventures in Wonderland,0
145,Middlemarch,0
3011,The Lady of the Lake,0
1661,The Adventures of Sherlock Holmes,0
3268,The Mysteries of Udolpho,0
1259,Twenty years after,0
2465,Carmen,0
2680,Meditations,0
2868,The Green Mummy,0
72,"Thuvia, maid of Mars",0
37106,"Little Women; Or, Meg, Jo, Beth, and Amy",0
7326,The Yeoman Adventurer,0
19476,A Honeymoon in Space,0
1184,The Count of Monte Cristo,0
75201,A farewell to arms,0
1695,The Man Who Was Thursday: A Nightmare,0
6133,"The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar",0
345,Dracula,0
43,The strange case of Dr. Jekyll and Mr. Hyde,0
3296,The Confessions of St. Augustine,0
21839,Sense and Sensibility,0
62215,Le Fantôme de l'Opéra,0
59828,"The String of Pearls; Or, The Barber of Fleet Street. A Domestic Romance.",0
71046,"Modern English biography, volume 2 (of 4), I-Q",0
1170,Anabasis,0
601,The Monk: A Romance,0
51252,The Book of the Thousand Nights and a Night — Volume 01 (of 10),0
831,Four Arthurian Romances,0
42671,Pride and Prejudice,0
76639,"Eloisa :  or, A series of original letters",0
103,Around the World in Eighty Days,0
468,Manon Lescaut,0
31100,The Complete Project Gutenberg Works of Jane AustenA Linked Index of all PG Editions of Jane Austen,0
161,Sense and Sensibility,0
22541,The Misplaced Battleship,0
20203,Autobiography of Benjamin Franklin,0
23,"Narrative of the Life of Frederick Douglass, an American Slave",0
8492,The King in Yellow,0
60979,Reminiscences of a Stock Operator,0
245,Life on the Mississippi,0
84,"Frankenstein; or, the modern prometheus",0
6400,"The Lives of the Twelve Caesars, Complete",0
18857,A Journey to the Centre of the Earth,0
46976,"The Anabasis of Alexander :  or, The history of the wars and conquests of Alexander the Great",0
45839,Dracula,0
52190,"Ecce HomoComplete Works, Volume Seventeen",0
4200,The Diary of Samuel Pepys — Complete,0
921,De Profundis,0
42,The strange case of Dr. Jekyll and Mr. Hyde,0
2527,The Sorrows of Young Werther,0
15399,"The Interesting Narrative of the Life of Olaudah Equiano, Or Gustavus Vassa, The AfricanWritten By Himself",0
26471,Spoon River Anthology,0
55059,"Modern English biography, volume 1 (of 4), A-H",0
7452,Autobiography of a Yogi,0
564,The Mystery of Edwin Drood,0
40284,The Sex Life of the Gods,0
16389,The Enchanted April,0
74,"The Adventures of Tom Sawyer, Complete",0
75883,"The Roll of Honour, Volume 1 :  A biographical record of all members of His Majesty's naval  and military forces who have fallen in the war",0
76178,I am a woman,0
55,The Wonderful Wizard of Oz,0
1514,A Midsummer Night's Dream,0
2087,Life and Letters of Charles Darwin — Volume 1,0
42389,The PirateAndrew Lang Edition,0
43453,A Pickle for the Knowing Ones,0
36462,King Arthur and the Knights of the Round Table,0
7524,The Germany and the Agricola of Tacitus,0
2002,Sonnets from the Portuguese,0
24739,"Bidwell's Travels, from Wall Street to London Prison: Fifteen Years in Solitude",0
2162,Anarchism and Other Essays,0
7889,Erotica Romana,0
13951,Les trois mousquetaires,0
6761,The Adventures of Ferdinand Count Fathom — Complete,0
17460,Lorna Doone: A Romance of Exmoor,0
51143,The Waterloo Roll CallWith Biographical Notes and Anecdotes,0
70854,The Countess of Pembroke's Arcadia,0
11030,"Incidents in the Life of a Slave Girl, Written by Herself",0
1112,Romeo and Juliet,0
18459,Hypnerotomachia: The Strife of Loue in a Dreame,0
40058,"The Life of Florence Nightingale, vol. 2 of 2",0
24793,Blow The Man Down: A Romance Of The Coast,0
393,The Blue Lagoon: A Romance,0
394,Cranford,0
38177,The Passionate Elopement,0
224,A pair of blue eyes,0
2160,The Expedition of Humphry Clinker,0
46276,The Treasure of Pearls: A Romance of Adventures in California,0
38311,What Will People Say? A Novel,0
