book_id,title,downloads
84,"Frankenstein; Or, The Modern Prometheus",135937
2701,"Moby Dick; Or, The Whale",114793
1560,The San Francisco Calamity by Earthquake and Fire,801
1342,Pride and Prejudice,82842
1513,Romeo and Juliet,69731
768,Wuthering Heights,42797
2641,A Room with a View,55377
1260,Jane Eyre: An Autobiography,45255
43,The Strange Case of Dr. Jekyll and Mr. Hyde,53674
100,The Complete Works of William Shakespeare,56824
145,Middlemarch,54079
64317,The Great Gatsby,33088
11,Alice's Adventures in Wonderland,52940
37106,"Little Women; Or, Meg, Jo, Beth, and Amy",49985
67979,The Blue Castle: a novel,44925
2554,Crime and Punishment,50199
3008,"The Jargon File, Version 4.2.2, 20 Aug 2000",3113
16328,Beowulf: An Anglo-Saxon Epic Poem,34057
16389,The Enchanted April,42229
5197,My Life — Volume 1,40235
394,Cranford,40494
76,Adventures of Huckleberry Finn,29404
174,The Picture of Dorian Gray,35817
2160,The Expedition of Humphry Clinker,40492
1080,"A Modest ProposalFor preventing the children of poor people in Ireland, from being a burden on their parents or country, and for making them beneficial to the publick",31260
2542,A Doll's House : a play,30565
1259,Twenty years after,39980
6761,The Adventures of Ferdinand Count Fathom — Complete,40734
6593,"History of Tom Jones, a Foundling",39204
844,The Importance of Being Earnest: A Trivial Comedy for Serious People,31808
98,A Tale of Two Cities,31646
4085,The Adventures of Roderick Random,39271
345,Dracula,31767
8492,The King in Yellow,0
1952,The Yellow Wallpaper,24101
28054,The Brothers Karamazov,0
1661,The Adventures of Sherlock Holmes,28773
26184,Simple Sabotage Field Manual,21806
1184,The Count of Monte Cristo,36464
77864,The psychology of Jung,0
52205,肉蒲團,1900
19315,The Poems of Giacomo Leopardi,0
1232,The Prince,24801
25344,The Scarlet Letter,0
3207,Leviathan,24927
74,"The Adventures of Tom Sawyer, Complete",0
205,"Walden, and On The Duty Of Civil Disobedience",23609
1400,Great Expectations,0
7290,"韓詩外傳, Complete",0
2591,Grimms' Fairy Tales,0
6130,The Iliad,25705
25130,夜雨秋燈錄,2005
408,The Souls of Black Folk,0
5200,Metamorphosis,22516
77862,The curse of the painted cliffs,0
1998,Thus Spake Zarathustra: A Book for All and None,26832
23,"Narrative of the Life of Frederick Douglass, an American Slave",0
3206,Moby Multiple Language Lists of Common Words,0
4300,Ulysses,23057
77863,Technique of modern tactics,0
1547,Sir Thomas More,380
36034,"White nights, and other stories",0
20228,Noli Me Tangere,5872
7370,Second Treatise of Government,0
27673,Oedipus King of ThebesTranslated into English Rhyming Verse with Explanatory Notes,10657
2148,The Works of Edgar Allan Poe — Volume 2,16330
3296,The Confessions of St. Augustine,0
2600,War and Peace,0
120,Treasure Island,0
245,Life on the Mississippi,9842
45,Anne of Green Gables,0
5740,Tractatus Logico-Philosophicus,10072
47629,"Ang ""Filibusterismo"" (Karugtóng ng Noli Me Tangere)",0
24790,Early English Meals and Manners,1819
1727,The OdysseyRendered into English prose for the use of those who cannot read the original,20234
55,The Wonderful Wizard of Oz,18777
2852,The Hound of the Baskervilles,0
161,Sense and Sensibility,0
4363,Beyond Good and Evil,22442
25346,南腔北調集,3718
15399,"The Interesting Narrative of the Life of Olaudah Equiano, Or Gustavus Vassa, The AfricanWritten By Himself",0
72679,"The lesser Key of Solomon, Goetia, the book of evil spirits :  contains two hundred diagrams and seals for invocation and convocation of spirits, necromancy, witchcraft and black art",17054
16119,"Doctrina ChristianaThe first book printed in the Philippines, Manila, 1593.",4266
27459,耳食錄,0
1497,The Republic,18489
8800,The divine comedy,0
39647,Heath's Modern Language Series: The Spanish American Reader,0
2680,Meditations,19220
27399,麟兒報,0
25323,狐狸緣全傳,0
19942,Candide,0
1399,Anna Karenina,0
244,A Study in Scarlet,0
23908,夢中緣,0
41445,"Frankenstein; Or, The Modern Prometheus",0
25162,池北偶談,22880
2000,Don Quijote,10926
16,Peter Pan :  [Peter and Wendy],14077
996,Don Quixote,0
42324,"Frankenstein; Or, The Modern Prometheus",14007
