book_id,book_url,title,author,language,subjects,bookshelves
2701,https://www.gutenberg.org/ebooks/2701,,,,,
1184,https://www.gutenberg.org/ebooks/1184,,,,,
145,https://www.gutenberg.org/ebooks/145,,,,,
1342,https://www.gutenberg.org/ebooks/1342,Pride and Prejudice,"['Austen, Jane, 1775-1817']",English,"['England -- Fiction', 'Young women -- Fiction', 'Love stories', 'Sisters -- Fiction', 'Domestic fiction', 'Courtship -- Fiction', 'Social classes -- Fiction']",[]
84,https://www.gutenberg.org/ebooks/84,"Frankenstein; or, the modern prometheus","['Shelley, Mary Wollstonecraft, 1797-1851']",English,"['Science fiction', 'Horror tales', 'Gothic fiction', 'Scientists -- Fiction', 'Monsters -- Fiction', 'Frankenstein, Victor (Fictitious character) -- Fiction', ""Frankenstein's monster (Fictitious character) -- Fiction""]",[]
1513,https://www.gutenberg.org/ebooks/1513,Romeo and Juliet,"['Shakespeare, William, 1564-1616']",English,"['Vendetta -- Drama', 'Youth -- Drama', 'Verona (Italy) -- Drama', 'Juliet (Fictitious character) -- Drama', 'Romeo (Fictitious character) -- Drama', 'Conflict of generations -- Drama', 'Tragedies (Drama)']",[]
40739,https://www.gutenberg.org/ebooks/40739,Die Traumdeutung,"['Freud, Sigmund, 1856-1939']",German,"['Dream interpretation', 'Dreams', 'Psychoanalysis']",[]
27509,https://www.gutenberg.org/ebooks/27509,The 2006 CIA World Factbook,['United States. Central Intelligence Agency'],English,"['World politics -- Handbooks, manuals, etc.', 'Geography -- Handbooks, manuals, etc.', 'Political science -- Handbooks, manuals, etc.', 'Political statistics -- Handbooks, manuals, etc.']",[]
24855,https://www.gutenberg.org/ebooks/24855,Concrete Construction: Methods and Costs,"['Gillette, Halbert Powers, 1869-', 'Hill, Charles Shattuck, 1868-']",English,['Concrete construction'],[]
28054,https://www.gutenberg.org/ebooks/28054,The Brothers Karamazov,"['Dostoyevsky, Fyodor, 1821-1881']",English,"['Didactic fiction', 'Fathers and sons -- Fiction', 'Russia -- Social life and customs -- 1533-1917 -- Fiction', 'Brothers -- Fiction']",[]
27558,https://www.gutenberg.org/ebooks/27558,The 2003 CIA World Factbook,['United States. Central Intelligence Agency'],English,"['World politics -- Handbooks, manuals, etc.', 'Geography -- Handbooks, manuals, etc.', 'Political science -- Handbooks, manuals, etc.', 'Political statistics -- Handbooks, manuals, etc.']",[]
42486,https://www.gutenberg.org/ebooks/42486,"The Two Magics: The Turn of the Screw, Covering End","['James, Henry, 1843-1916']",English,"['England -- Fiction', 'Governesses -- Fiction', 'Country homes -- Fiction', 'Courtship -- Fiction', 'Children -- Fiction', 'Mortgages -- Fiction']",[]
22094,https://www.gutenberg.org/ebooks/22094,"Travels in the Great Desert of Sahara, in the Years of 1845 and 1846","['Richardson, James, 1806-1851']",English,['Sahara -- Description and travel'],[]
2641,https://www.gutenberg.org/ebooks/2641,A Room with a View,"['Forster, E. M. (Edward Morgan), 1879-1970']",English,"['Humorous stories', 'England -- Fiction', 'Young women -- Fiction', 'British -- Italy -- Fiction', 'Florence (Italy) -- Fiction']",[]
11,https://www.gutenberg.org/ebooks/11,Alice's Adventures in Wonderland,"['Carroll, Lewis, 1832-1898']",English,"['Fantasy fiction', ""Children's stories"", 'Imaginary places -- Juvenile fiction', 'Alice (Fictitious character from Carroll) -- Juvenile fiction']",[]
2554,https://www.gutenberg.org/ebooks/2554,Crime and Punishment,"['Dostoyevsky, Fyodor, 1821-1881']",English,"['Detective and mystery stories', 'Psychological fiction', 'Saint Petersburg (Russia) -- Fiction', 'Murder -- Fiction', 'Crime -- Psychological aspects -- Fiction']",[]
45304,https://www.gutenberg.org/ebooks/45304,"The City of God, Volume I","['Augustine, of Hippo, Saint, 354-430']",English,"['Apologetics -- Early works to 1800', 'Kingdom of God -- Early works to 1800']",[]
22091,https://www.gutenberg.org/ebooks/22091,"The best short stories of 1920, and the yearbook of the American short story",[],English,"['Short stories, American', 'American fiction -- 20th century', 'Short stories -- 20th century -- Bibliography', 'Short stories -- 20th century -- Indexes']",[]
65661,https://www.gutenberg.org/ebooks/65661,Der Zauberberg. Erster Band,"['Mann, Thomas, 1875-1955']",German,"['Germany -- Fiction', 'Sanatoriums -- Fiction']",[]
100,https://www.gutenberg.org/ebooks/100,The Complete Works of William Shakespeare,"['Shakespeare, William, 1564-1616']",English,"['English drama -- Early modern and Elizabethan, 1500-1600']",[]
27279,https://www.gutenberg.org/ebooks/27279,"Southern Literature From 1579-1895A comprehensive review, with copious extracts and criticismsfor the use of schools and the general reader","['Manly, Louise, 1857-1936']",English,"['American literature -- Southern States', 'American literature -- Southern states -- History and criticism', 'Southern States -- Intellectual life', 'Southern States -- Literary collections', 'Southern States -- In literature']",[]
37106,https://www.gutenberg.org/ebooks/37106,"Little Women; Or, Meg, Jo, Beth, and Amy","['Alcott, Louisa May, 1832-1888']",English,"['Autobiographical fiction', 'Young women -- Fiction', 'Sisters -- Fiction', 'Domestic fiction', 'Family life -- New England -- Fiction', 'New England -- Fiction', 'Bildungsromans', 'Mothers and daughters -- Fiction', 'March family (Fictitious characters) -- Fiction']",[]
28088,https://www.gutenberg.org/ebooks/28088,"The Beth BookBeing a Study of the Life of Elizabeth Caldwell Maclure, a Woman of Genius","['Grand, Sarah, 1854-1943']",English,"['England -- Social life and customs -- 19th century -- Fiction', 'Women -- Social conditions -- Fiction']",[]
22210,https://www.gutenberg.org/ebooks/22210,"In the forbidden land :  an account of a journey into Tibet, capture by the Tibetan lamas and soldiers, imprisonment, torture and ultimate release","['Landor, Arnold Henry Savage, 1865-1924']",English,['Tibet Autonomous Region (China) -- Description and travel'],[]
37683,https://www.gutenberg.org/ebooks/37683,Chambers's Twentieth Century Dictionary (part 1 of 4: A-D),[],English,['English language -- Dictionaries'],[]
26471,https://www.gutenberg.org/ebooks/26471,Spoon River Anthology,"['Masters, Edgar Lee, 1868-1950']",English,['American poetry'],[]
25851,https://www.gutenberg.org/ebooks/25851,"The Life of Charles Dickens, Vol. I-III, Complete","['Forster, John, 1812-1876']",English,"['Dickens, Charles, 1812-1870', 'Novelists, English -- 19th century -- Biography']",[]
21190,https://www.gutenberg.org/ebooks/21190,"Expositions of Holy ScriptureSecond Corinthians, Galatians, and Philippians ChaptersI to End. Colossians, Thessalonians, and First Timothy.","['Maclaren, Alexander, 1826-1910']",English,['Bible. Epistles of Paul -- Commentaries'],[]
21053,https://www.gutenberg.org/ebooks/21053,An anthology of German literature,"['Thomas, Calvin, 1854-1919']",English,['German literature'],[]
67979,https://www.gutenberg.org/ebooks/67979,The Blue Castle: a novel,"['Montgomery, L. M. (Lucy Maud), 1874-1942']",English,"['Self-actualization (Psychology) -- Fiction', 'Single women -- Fiction', 'Canada -- History -- 1914-1945 -- Fiction', 'Romance fiction', 'Love -- Fiction', 'Young adult fiction', 'Choice (Psychology) -- Fiction']",[]
65580,https://www.gutenberg.org/ebooks/65580,Carl Svenske: Historisk berättelse från frihetstiden,"['Björlin, Gustaf, 1845-1922']",Swedish,"['Historical fiction', 'Sweden -- Fiction']",[]
25545,https://www.gutenberg.org/ebooks/25545,Children's LiteratureA Textbook of Sources for Teachers and Teacher-Training Classes,"['Curry, Charles Madison, 1869-1944', 'Clippinger, Erle Elsworth, 1875-1939']",English,"['Children -- Books and reading', ""Children's literature -- Study and teaching""]",[]
16389,https://www.gutenberg.org/ebooks/16389,The Enchanted April,"['Von Arnim, Elizabeth, 1866-1941']",English,"['Love stories', 'Domestic fiction', 'Italy -- Fiction', 'Female friendship -- Fiction', 'British -- Italy -- Fiction']",[]
18595,https://www.gutenberg.org/ebooks/18595,"The Life of George Washington, Vol. 5Commander in Chief of the American Forces During the Warwhich Established the Independence of his Country and FirstPresident of the United States","['Marshall, John, 1755-1835']",English,"['Generals -- United States -- Biography', 'Presidents -- United States -- Biography', 'Washington, George, 1732-1799']",[]
394,https://www.gutenberg.org/ebooks/394,Cranford,"['Gaskell, Elizabeth Cleghorn, 1810-1865']",English,"['England -- Fiction', 'Sisters -- Fiction', 'Pastoral fiction', 'Villages -- Fiction', 'Older women -- Fiction', 'Female friendship -- Fiction']",[]
76,https://www.gutenberg.org/ebooks/76,Adventures of Huckleberry Finn,"['Twain, Mark, 1835-1910']",English,"['Humorous stories', 'Bildungsromans', 'Boys -- Fiction', 'Male friendship -- Fiction', 'Adventure stories', 'Missouri -- Fiction', 'Race relations -- Fiction', 'Runaway children -- Fiction', 'Finn, Huckleberry (Fictitious character) -- Fiction', 'Fugitive slaves -- Fiction', 'Mississippi River -- Fiction']",[]
25977,https://www.gutenberg.org/ebooks/25977,My Recollections of Lord Byron,"['Guiccioli, Teresa, contessa di, 1800-1873']",English,"['Poets, English -- 19th century -- Biography', 'Byron, George Gordon Byron, Baron, 1788-1824']",[]
6761,https://www.gutenberg.org/ebooks/6761,The Adventures of Ferdinand Count Fathom — Complete,"['Smollett, T. (Tobias), 1721-1771']",English,"['Gothic fiction', 'Adventure stories']",[]
23609,https://www.gutenberg.org/ebooks/23609,"Searchlights on Health: Light on Dark CornersA Complete Sexual Science and a Guide to Purity and Physical Manhood, Advice To Maiden, Wife, And Mother, Love, Courtship, And Marriage","['Jefferis, B. G. (Benjamin Grant), 1851-', 'Nichols, J. L. (James Lawrence), -1895']",English,"['Marriage', 'Medicine, Popular', 'Sexual ethics']",[]
24869,https://www.gutenberg.org/ebooks/24869,"The Rámáyan of Válmíki, translated into English verse",['Valmiki'],English,"['Folklore -- India', 'Epic poetry, Sanskrit -- Translations into English', 'Rama (Hindu deity) -- Poetry']",[]
21804,https://www.gutenberg.org/ebooks/21804,Aventures d'un Gentilhomme Breton aux îles Philippines,"['La Gironière, Paul P. de, 1797-1862']",French,['Philippines'],[]
2160,https://www.gutenberg.org/ebooks/2160,The Expedition of Humphry Clinker,"['Smollett, T. (Tobias), 1721-1771']",English,"['Epistolary fiction', 'Travelers -- Fiction', 'Great Britain -- Fiction']",[]
26706,https://www.gutenberg.org/ebooks/26706,"Manual of Military TrainingSecond, Revised Edition","['Moss, James A. (James Alfred), 1872-1941']",English,"['United States. Army -- Handbooks, manuals, etc.']",[]
25911,https://www.gutenberg.org/ebooks/25911,Sea Power in its Relations to the War of 1812. Volume 1,"['Mahan, A. T. (Alfred Thayer), 1840-1914']",English,"['United States -- History -- War of 1812', 'Sea-power', 'United States -- History -- War of 1812 -- Naval operations', 'United States. Navy -- History -- War of 1812']",[]
23784,https://www.gutenberg.org/ebooks/23784,The History of Sir Richard Calmady: A Romance,"['Malet, Lucas, 1852-1931']",English,"['People with disabilities -- Fiction', 'Psychological fiction', 'Cousins -- Fiction', 'Triangles (Interpersonal relations) -- Fiction', 'Mothers and sons -- Fiction', 'Lesbians -- Fiction']",[]
43,https://www.gutenberg.org/ebooks/43,The strange case of Dr. Jekyll and Mr. Hyde,"['Stevenson, Robert Louis, 1850-1894']",English,"['Science fiction', 'Horror tales', 'London (England) -- Fiction', 'Physicians -- Fiction', 'Psychological fiction', 'Self-experimentation in medicine -- Fiction', 'Multiple personality -- Fiction']",[]
