week_date,rank,book_id,title
2026-04-08,1,84,"Frankenstein; or, the modern prometheus by Mary Wollstonecraft Shelley (28070)"
2026-04-08,2,2701,"Moby Dick; Or, The Whale by Herman Melville (26064)"
2026-04-08,3,45304,"The City of God, Volume I by Saint of Hippo Augustine (21453)"
2026-04-08,4,1342,Pride and Prejudice by Jane Austen (21261)
2026-04-08,5,52106,The origin and development of the moral ideas by Edward Westermarck (20823)
2026-04-08,6,2554,Crime and Punishment by Fyodor Dostoyevsky (16548)
2026-04-08,7,8492,The King in Yellow by Robert W.  Chambers (16290)
2026-04-08,8,1513,Romeo and Juliet by William Shakespeare (16272)
2026-04-08,9,1184,The Count of Monte Cristo by Alexandre Dumas and Auguste Maquet (15518)
2026-04-08,10,58031,Report of the President's Commission on the Assassination of President John F. Kennedy (15045)
